# ----------------------------------------
# All Web Site Data
# User Explorer
# 20161101-20170101
# ----------------------------------------

Client ID,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
2124418268.1481610806,23,00:06:06,39.13%,US$0.00,0,0.00%
367233827.1481123830,23,00:02:13,13.04%,US$0.00,0,0.00%
53684929.1479630391,23,00:14:11,8.70%,US$0.00,0,0.00%
557126796.1477712267,23,00:02:36,21.74%,US$0.00,0,0.00%
808925785.1477821343,23,00:06:04,30.43%,US$0.00,0,0.00%
1145769249.1477139992,22,00:30:30,9.09%,US$0.00,0,0.00%
1332011402.1478808052,22,00:23:44,22.73%,US$0.00,0,0.00%
1430897820.1478387767,22,00:07:17,13.64%,US$0.00,0,0.00%
1458369138.1478564429,22,00:04:36,9.09%,US$0.00,0,0.00%
1501179243.1477065831,22,00:26:43,9.09%,US$0.00,0,0.00%
312498754.1481065797,22,00:05:52,31.82%,US$0.00,0,0.00%
463165799.1481166835,22,00:03:41,4.55%,US$0.00,0,0.00%
975969553.1473302916,22,00:13:48,9.09%,US$0.00,0,0.00%
1248018549.1480730689,21,00:07:30,19.05%,US$0.00,0,0.00%
129547393.1478960451,21,00:05:25,4.76%,US$0.00,0,0.00%
1443729486.1478873044,21,00:07:13,9.52%,US$0.00,0,0.00%
1573941541.1476975267,21,00:08:27,9.52%,US$0.00,0,0.00%
1585662085.1477285683,21,00:05:49,9.52%,US$0.00,0,0.00%
1652370636.1478771913,21,00:18:32,4.76%,US$0.00,0,0.00%
167434267.1479395078,21,00:09:53,23.81%,US$0.00,0,0.00%
1725995226.1480308989,21,00:08:05,14.29%,US$0.00,0,0.00%
2114657974.1481072199,21,00:10:24,4.76%,US$0.00,0,0.00%
2136750354.1480844822,21,00:08:08,23.81%,US$0.00,0,0.00%
221562815.1481497080,21,00:03:32,38.10%,US$0.00,0,0.00%
580032999.1482290313,21,00:11:18,4.76%,US$0.00,0,0.00%
878456827.1479048888,21,00:09:49,28.57%,US$0.00,0,0.00%
894646245.1480295114,21,00:05:46,33.33%,US$0.00,0,0.00%
1014927014.1478065372,20,00:03:01,10.00%,US$0.00,0,0.00%
1229297062.1478088296,20,00:12:26,25.00%,US$0.00,0,0.00%
1307566389.1472247517,20,00:13:46,10.00%,US$0.00,0,0.00%
1467926038.1479802733,20,00:05:57,30.00%,US$0.00,0,0.00%
1594149521.1479267471,20,00:09:07,25.00%,US$0.00,0,0.00%
1717377824.1481388652,20,00:15:46,30.00%,US$0.00,0,0.00%
1917093623.1479397603,20,00:10:03,45.00%,US$0.00,0,0.00%
217954100.1476144698,20,00:07:13,15.00%,US$0.00,0,0.00%
397402483.1479816841,20,00:04:43,10.00%,US$0.00,0,0.00%
515782478.1479123307,20,00:12:12,5.00%,US$0.00,0,0.00%
812445574.1479267970,20,00:06:03,15.00%,US$0.00,0,0.00%
944478167.1481305494,20,00:04:21,10.00%,US$0.00,0,0.00%
960563178.1481110035,20,00:11:23,25.00%,US$0.00,0,0.00%
996043935.1479246546,20,00:01:26,60.00%,US$0.00,0,0.00%
1098953610.1481447515,19,00:09:30,0.00%,US$0.00,0,0.00%
1134972352.1479269179,19,00:07:13,26.32%,US$0.00,0,0.00%
1326995262.1478996470,19,00:16:36,10.53%,US$0.00,0,0.00%
1349460113.1479966758,19,00:09:07,42.11%,US$0.00,0,0.00%
1405817564.1479337733,19,00:10:07,5.26%,US$0.00,0,0.00%
1568539530.1482602052,19,00:22:25,21.05%,US$0.00,0,0.00%
1600359255.1478679043,19,00:12:06,10.53%,US$0.00,0,0.00%
1726459646.1477666501,19,00:04:01,31.58%,US$0.00,0,0.00%
186580525.1476808889,19,00:07:46,15.79%,US$0.00,0,0.00%
1876789444.1479371978,19,00:15:59,10.53%,US$0.00,0,0.00%
1889685660.1479034840,19,00:06:59,89.47%,US$0.00,0,0.00%
1898748450.1475057226,19,00:07:54,10.53%,US$0.00,0,0.00%
2043686119.1480241758,19,00:12:30,10.53%,US$0.00,0,0.00%
2103022334.1475665463,19,00:10:00,10.53%,US$0.00,0,0.00%
34536753.1478605006,19,00:05:29,36.84%,US$0.00,0,0.00%
361926970.1480956959,19,00:08:47,26.32%,US$0.00,0,0.00%
385979353.1478395441,19,00:02:00,73.68%,US$0.00,0,0.00%
425141299.1469715492,19,00:05:57,21.05%,US$0.00,0,0.00%
477419171.1468938278,19,00:02:43,21.05%,US$0.00,0,0.00%
479225151.1482131480,19,00:11:17,10.53%,US$0.00,0,0.00%
675758445.1480627747,19,00:07:39,5.26%,US$0.00,0,0.00%
87542715.1478061773,19,00:01:21,15.79%,US$0.00,0,0.00%
965676048.1482971859,19,00:14:31,5.26%,US$0.00,0,0.00%
110656644.1465532116,18,00:00:55,94.44%,US$0.00,0,0.00%
1473578642.1481456396,18,00:04:50,27.78%,US$0.00,0,0.00%
1498039537.1481593193,18,00:06:45,27.78%,US$0.00,0,0.00%
1668465482.1477816159,18,00:06:18,16.67%,US$0.00,0,0.00%
1932019423.1478947435,18,00:08:52,16.67%,US$0.00,0,0.00%
1932928313.1478323429,18,00:20:11,33.33%,US$0.00,0,0.00%
301892072.1480073893,18,00:05:42,5.56%,US$0.00,0,0.00%
314963035.1468582223,18,00:05:27,5.56%,US$0.00,0,0.00%
44369094.1475618932,18,00:02:05,66.67%,US$0.00,0,0.00%
54417436.1475900948,18,00:05:33,27.78%,US$0.00,0,0.00%
651398810.1476553830,18,00:09:32,0.00%,US$0.00,0,0.00%
674501887.1481311191,18,00:08:32,0.00%,US$0.00,0,0.00%
7182868.1480351401,18,00:06:06,44.44%,US$0.00,0,0.00%
761287324.1478833716,18,00:11:28,16.67%,US$0.00,0,0.00%
804427941.1480039793,18,00:13:12,38.89%,US$0.00,0,0.00%
979519882.1471589015,18,00:33:48,11.11%,US$0.00,0,0.00%
1094831407.1481086480,17,00:16:54,0.00%,US$0.00,0,0.00%
1218102379.1479817932,17,00:21:46,5.88%,US$0.00,0,0.00%
1275902254.1481293024,17,00:08:17,5.88%,US$0.00,0,0.00%
1422008673.1479873258,17,00:04:41,23.53%,US$0.00,0,0.00%
1590543895.1478588907,17,00:07:59,11.76%,US$0.00,0,0.00%
1605638732.1479214307,17,00:17:30,17.65%,US$0.00,0,0.00%
1749106815.1479360120,17,00:05:22,29.41%,US$0.00,0,0.00%
1862221230.1479813246,17,00:27:49,11.76%,US$0.00,0,0.00%
